Time,wsteth,wbtc,sfrxeth,weth
17702642,2188367627428665904537,3.0412457541126607e+22,2038721649456497203868,1.9122584205881075e+21
17708051,2177411248523248276368,3.0249056003299635e+22,2026179850679732114715,1.903283854156759e+21
17713459,2182336337999043539938,3.030929389808561e+22,2010834783552262479713,1.9078388570435286e+21
17718867,2139638165445418931016,2.9779088673287916e+22,1975585578200283454463,1.8633651740945057e+21
17724276,2170801075359084595083,3.015271153467125e+22,2009777533753842148107,1.8981163633459512e+21
17729684,2156193395631650328093,3.011130892994315e+22,2004795724554081925158,1.8890386191984238e+21
17735092,2121123183708698167136,2.94413915105125e+22,1970140003375704266542,1.864287722652932e+21
17740501,2135725236742513610816,2.9673443050380583e+22,1974048074904822366648,1.8500173150430836e+21
17745909,2137030715362006441978,3.007542429383415e+22,2001017422834308427498,1.8600895262418603e+21
17751317,2134197086723743222461,2.977296976524296e+22,1975628960445192127321,1.8399269328500322e+21
17756726,2129188716934288215934,2.978485040942513e+22,1970973751181058364782,1.8926189669497721e+21
17762134,2119372152464273750128,2.97840308325799e+22,1969798744430829262999,1.8702959678948324e+21
17767542,2109485342002176832635,2.9177303709314856e+22,1955010890359998915871,1.8550351365698227e+21
17772951,2111732718360346646543,2.92883319416611e+22,1951498859639580542412,1.8781123284174514e+21
17778359,2110986159105157598600,2.9498183614076857e+22,1947974488195050693481,1.8718244370767665e+21
17783767,2147833311817185532424,2.9676300979773865e+22,1993201854507819583825,1.8996999412312588e+21
17789176,2111160057483322902617,2.9253227360621536e+22,1953718142227721575343,1.836546894723842e+21
17794584,2125492918991144147614,2.9336466609098744e+22,1970337748788622366057,1.8788417647546146e+21
17799993,2117522580552034398039,2.926772644703443e+22,1952064191536601140524,1.870680912750005e+21
17805401,2115507864913553834185,2.920522488730766e+22,1958791966891744484687,1.8752166637643212e+21
17810809,2111893848195927850634,2.9467053216530824e+22,1952532829418672486367,1.8672003962526525e+21
17816218,2093285180997274181038,2.923420284517374e+22,1938280609947920481264,1.8382272571302168e+21
17821626,2089290606654640253359,2.9047830351805845e+22,1934709930400114304432,1.8452630360972208e+21
17827034,2100127133778224073959,2.9506312688650074e+22,1949831643548247800820,1.8593908947259304e+21
17832443,2080397328348416885681,2.9056751183932003e+22,1922698216820540248825,1.8319060321351846e+21
17437628,2038155964348502728164,,1916258571967950320142,
17443031,2103969779550108058055,,1944531047720050163835,
17448435,1947865900186459873381,,1801518281231184619907,
17453838,1984722817172176299430,,1825136860488683128836,
17459242,2010675435160238896706,,1859101295924430379543,
17464645,1950387854198241576719,,1819788623277748886103,
17470049,1995569123942484674384,,1843904060074436010317,
17475452,1980905340679494882735,,1833098354914932732812,
17480856,1846896030570628780558,,1701582043693142970072,
17486259,1865685053926522388388,,1719331596937041874345,
17491662,1896950991070788963076,,1742367947466089121943,
17497066,1943766155329296406707,,1794225537553664187193,
17502469,1950350610171780275553,,1792663286293378230437,
17507873,1982021802142568843807,,1825453436916885266111,
17513276,1943555140936790684952,,1799008230433946830255,
17518680,1940252614841110422900,,1792480661472587950407,
17524083,2020956738852477420672,,1873850491296629012030,
17529487,2163971968602188430155,,1942089299087217586530,
17534890,2123121973201320655410,,1983321781162481542054,
17540293,2129635716942103243065,,1975119609137629210963,
17545697,2121289437390022899523,,1978386692281604236077,
17551100,2122948737521233379163,,1984300501106309103321,
17556504,2180285217675350500638,,2044924158994362618419,
17561907,2117920906869196351690,2.943084591638873e+22,1969889598801120889786,
17567311,2117996746982619169454,3.0532076038539157e+22,1958696504370311872652,1.8626420648390623e+21
17572714,2150721765411055054671,3.0757094699751736e+22,1996490670527435875662,1.9216011544265506e+21
17578118,2088950060132039518267,2.9895510426320888e+22,1926118301420406699014,1.855024251276264e+21
17583521,2099331328733643144726,3.055251538696484e+22,1940890412483375832682,1.8502001968529987e+21
17588924,2074806232817348856560,3.045741342842984e+22,1915031769931761295613,1.8279246037015942e+21
17594328,2198493783067216178514,3.0301383111964667e+22,2071855323680558017027,1.9810554866863854e+21
17599731,2207606858128693664374,3.0832775428365812e+22,2077332932567255622887,1.9886559282061697e+21
17605135,2174001581888148923408,3.0508627451014514e+22,2045079062371123798850,1.8987074966521515e+21
17610538,2219381688908027864912,3.115522392097785e+22,2053719131556896478818,1.9984596929623155e+21
17615942,2207562400494737200110,3.2267283976112818e+22,2049907931382055707723,1.9853838663653516e+21
17621345,2213800416111413119426,3.1056623673233623e+22,2036213689029738441723,1.9716970865115542e+21
17626749,2164385772263460600648,3.056302884560148e+22,1955562983193253374314,1.9030616135507929e+21
17632152,2165119799665166085065,3.0759192220257002e+22,2009609593798291531837,1.9123401664179654e+21
17637555,2116533742165816328666,3.0091421931877138e+22,1955572865745268561062,1.8676017249754213e+21
17642959,2129598578394443215253,3.0522081030000326e+22,1967438127940835531081,1.8637388179480615e+21
17648362,2111974857160107385801,3.020005108352807e+22,1952248731419517160070,1.8469401305205718e+21
17653766,2122402723339800488782,3.0462853493057835e+22,1966312715104656766743,1.9002093044494982e+21
17659169,2098166289742542629202,2.9905162760335485e+22,1943367479137014727152,1.8352630035140714e+21
17664573,2124481687932961712898,3.0536456618449887e+22,1965923005100051194783,1.8956330655778288e+21
17669976,2098390273508133238173,3.0125055200592782e+22,1942453759876005346292,1.8466539223843453e+21
17675380,2135972806625921054242,3.0753266241806304e+22,1981388427193147600353,1.906269285030316e+21
17680783,2107084727320284368455,3.0284127241341063e+22,1947688061813993476005,1.854758475567366e+21
17686186,2306944080236681364048,3.124979748676027e+22,2117584105665891222621,2.0329006658003033e+21
17691590,2236883659714309815231,3.1157658959331207e+22,2079255655786831686152,2.070032716524887e+21
17696993,2187221568561283166648,3.0386943017634054e+22,2036188348738381795653,1.902735019412706e+21
17702397,2177215252815810102025,3.0324452481694746e+22,2023101617902069102954,1.9025072934815547e+21
17707800,2189408673167596079175,3.0451749364943162e+22,2034431490555706300605,1.9137610093840627e+21
17713204,2164316619865778062095,3.0060752375056332e+22,2004453532072393529441,1.892096925789984e+21
17718607,2140626042911979199195,2.9791953259455396e+22,1980238772710518110340,1.8642206288677642e+21
17724011,2170942775369191075395,3.019713083768447e+22,2017049377599362264881,1.8987805968137687e+21
17729414,2179140720145994875868,3.0278348545303423e+22,2017256986672320344561,1.9077398869811024e+21
17734817,2168333147218478895447,3.016148808017076e+22,2011411227495327827120,1.909548562545249e+21
17740221,2136797011949059459632,2.9685411567427874e+22,1974965573922521306125,1.8509400336281942e+21
17745624,2140891075391650078123,3.0077357631728563e+22,1994126917911086682445,1.863448394299567e+21
17751028,2131898607048594138759,2.9754831898567497e+22,1973330147386387609367,1.8379424332604818e+21
17756431,2130015572753044719629,2.989808768529123e+22,1973441767510825000145,1.893344896088431e+21
